|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| Keyword                                 | Currency | Avg. monthly searches | Thay đổi trong ba tháng | Thay đổi so với cùng kỳ năm trước | Competition    | Competition (indexed value) | Top of page bid (low range) | Top of page bid (high range) | Ad impression share | Organic impression share | Organic average position | In account? | In plan? | Searches: Dec 2023 | Searches: Jan 2024 | Searches: Feb 2024 | Searches: Mar 2024 | Searches: Apr 2024 | Searches: May 2024 | Searches: Jun 2024 | Searches: Jul 2024 | Searches: Aug 2024 | Searches: Sep 2024 | Searches: Oct 2024 | Searches: Nov 2024 |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách nữ                             | VND      |                 50000 | 0%                      | 0%                                | Cao            |                         100 |                        1273 |                         6615 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách nữ hàng hiệu                   | VND      |                  5000 | 0%                      | 0%                                | Trung bình     |                          60 |                        1260 |                         5805 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách nữ đẹp                         | VND      |                  5000 | 0%                      | 0%                                | Cao            |                         100 |                        1113 |                         4972 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách nữ hàng hiệu cao cấp           | VND      |                   500 | 0%                      | -90%                              | Cao            |                         100 |                        1018 |                         5086 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách nữ cao cấp                     | VND      |                  5000 | -90%                    | -90%                              | Cao            |                         100 |                        1326 |                         6737 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| mua túi xách nữ hàng hiệu giảm giá      | VND      |                   500 | 0%                      | 0%                                | Cao            |                         100 |                        1018 |                         5029 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi da nữ                               | VND      |                   500 | 0%                      | 0%                                | Cao            |                         100 |                        1288 |                         5032 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách nữ hàn quốc                    | VND      |                   500 | 0%                      | 0%                                | Cao            |                         100 |                        1018 |                         3811 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách công sở nữ                     | VND      |                   500 | 0%                      | 0%                                | Cao            |                         100 |                        1018 |                         5103 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach nu                             | VND      |                   500 | 0%                      | -90%                              | Cao            |                          99 |                        1273 |                         5098 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| thương hiệu túi xách nữ                 | VND      |                   500 | 0%                      | 0%                                | Cao            |                         100 |                        1133 |                         5080 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| mua túi xách nữ                         | VND      |                   500 | 0%                      | -90%                              | Cao            |                         100 |                        2356 |                        11455 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách nữ da thật                     | VND      |                   500 | 0%                      | 0%                                | Cao            |                         100 |                        1273 |                         5288 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách da nữ                          | VND      |                   500 | 0%                      | 0%                                | Cao            |                         100 |                        1273 |                         4628 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách tay nữ                         | VND      |                   500 | 0%                      | 0%                                | Cao            |                         100 |                        1018 |                         4251 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách nữ đeo chéo                    | VND      |                   500 | 0%                      | 0%                                | Cao            |                         100 |                        1018 |                         4838 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách laptop nữ                      | VND      |                   500 | -90%                    | -90%                              | Cao            |                         100 |                        1782 |                         6805 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách nữ chính hãng                  | VND      |                   500 | 0%                      | 0%                                | Cao            |                         100 |                        1837 |                         6384 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách trung niên                     | VND      |                   500 | 0%                      | 0%                                | Cao            |                         100 |                        1001 |                         2619 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| các hãng túi xách nữ                    | VND      |                   500 | 0%                      | 0%                                | Cao            |                         100 |                        1095 |                         4660 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| shop balo nữ                            | VND      |                   500 | 0%                      | 0%                                | Cao            |                         100 |                        1273 |                         6815 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách nữ trung niên                  | VND      |                   500 | 0%                      | 0%                                | Cao            |                         100 |                        1018 |                         2545 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| mẫu túi xách nữ                         | VND      |                   500 | 0%                      | 0%                                | Cao            |                         100 |                        1018 |                         3018 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách nữ giá rẻ                      | VND      |                   500 | 0%                      | 0%                                | Cao            |                          99 |                        1018 |                         2545 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách nữ công sở                     | VND      |                   500 | 0%                      | 0%                                | Cao            |                         100 |                        1273 |                         5473 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách công sở nữ đựng laptop         | VND      |                   500 | 0%                      | 0%                                | Cao            |                         100 |                        1504 |                         5619 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách du lịch nữ                     | VND      |                   500 | 0%                      | 0%                                | Cao            |                         100 |                        1018 |                         5430 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách nữ da bò xịn                   | VND      |                    50 | 0%                      | -90%                              | Trung bình     |                          50 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đựng laptop nữ                 | VND      |                   500 | 0%                      | 0%                                | Cao            |                         100 |                        1273 |                         4636 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách nữ size lớn hàng hiệu          | VND      |                   500 | 0%                      | -90%                              | Cao            |                         100 |                        1273 |                         4220 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| shop túi xách nữ                        | VND      |                   500 | 0%                      | 0%                                | Cao            |                         100 |                        1273 |                         5762 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| túi xách đeo chéo nữ                    | VND      |                   500 | 0%                      | 0%                                | Cao            |                         100 |                        1018 |                         4099 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
