|-----|-----------------------------------------|-----------------------|-----------------------------|
|     | Keyword                                 | Avg. monthly searches | Competition (indexed value) |
|-----|-----------------------------------------|-----------------------|-----------------------------|
|   0 | túi xách nữ                             |                 50000 |                       100   |
|-----|-----------------------------------------|-----------------------|-----------------------------|
|   1 | túi xách nữ hàng hiệu                   |                  5000 |                        60   |
|-----|-----------------------------------------|-----------------------|-----------------------------|
|   2 | túi xách nữ đẹp                         |                  5000 |                       100   |
|-----|-----------------------------------------|-----------------------|-----------------------------|
|   3 | túi xách nữ hàng hiệu cao cấp           |                   500 |                       100   |
|-----|-----------------------------------------|-----------------------|-----------------------------|
|   4 | túi xách nữ cao cấp                     |                  5000 |                       100   |
|-----|-----------------------------------------|-----------------------|-----------------------------|
|   5 | mua túi xách nữ hàng hiệu giảm giá      |                   500 |                       100   |
|-----|-----------------------------------------|-----------------------|-----------------------------|
|   6 | túi da nữ                               |                   500 |                       100   |
|-----|-----------------------------------------|-----------------------|-----------------------------|
|   7 | túi xách nữ hàn quốc                    |                   500 |                       100   |
|-----|-----------------------------------------|-----------------------|-----------------------------|
|   8 | túi xách công sở nữ                     |                   500 |                       100   |
|-----|-----------------------------------------|-----------------------|-----------------------------|
|   9 | tui xach nu                             |                   500 |                        99   |
|-----|-----------------------------------------|-----------------------|-----------------------------|
|  10 | thương hiệu túi xách nữ                 |                   500 |                       100   |
|-----|-----------------------------------------|-----------------------|-----------------------------|
|  11 | mua túi xách nữ                         |                   500 |                       100   |
|-----|-----------------------------------------|-----------------------|-----------------------------|
|  12 | túi xách nữ da thật                     |                   500 |                       100   |
|-----|-----------------------------------------|-----------------------|-----------------------------|
|  13 | túi xách da nữ                          |                   500 |                       100   |
|-----|-----------------------------------------|-----------------------|-----------------------------|
|  14 | túi xách tay nữ                         |                   500 |                       100   |
|-----|-----------------------------------------|-----------------------|-----------------------------|
|  15 | túi xách nữ đeo chéo                    |                   500 |                       100   |
|-----|-----------------------------------------|-----------------------|-----------------------------|
|  16 | túi xách laptop nữ                      |                   500 |                       100   |
|-----|-----------------------------------------|-----------------------|-----------------------------|
|  17 | túi xách nữ chính hãng                  |                   500 |                       100   |
|-----|-----------------------------------------|-----------------------|-----------------------------|
|  18 | túi xách trung niên                     |                   500 |                       100   |
|-----|-----------------------------------------|-----------------------|-----------------------------|
|  19 | các hãng túi xách nữ                    |                   500 |                       100   |
|-----|-----------------------------------------|-----------------------|-----------------------------|
|  20 | shop balo nữ                            |                   500 |                       100   |
|-----|-----------------------------------------|-----------------------|-----------------------------|
|  21 | túi xách nữ trung niên                  |                   500 |                       100   |
|-----|-----------------------------------------|-----------------------|-----------------------------|
